QUESTIONS,RESULT
As per APH 2020-21 option for merging of Institutions which are running under same Trust/ Society is mentioned We have one Engineering and one Pharmacy Institution under our Society Can we merge them,relevant
We are Integrated Campus from 2010 running Courses in Engineering Pharmacy and Management Programmes We are interested to take additional Diploma Course in existing Pharmacy (UG) Institution Can you suggest how to proceed for the same,relevant
Can we merge an Institution running Under Graduate Courses and a Polytechnic in Engineering,relevant
Can we merge few Courses of a Child Institution with Parent Institution and run the Child Institution with the remaining Courses,relevant
Can we merge two Institutions located within a distance of 5km in the same City,relevant
We would like to apply for Conversion of Women’s Institution into Co-ed Institution But the enrollment in the last three years is not less than 60% Are we eligible to apply for the same,relevant
How can we apply for Courses in Emerging Areas in Engineering and Technology,relevant
We have One Course with valid NBA accreditation How many increase/ new Course our Institution is eligible,relevant
Can we apply for new/ expansion in PG Courses,relevant
Whether we can add a new Course,relevant
Our Institution has valid NBA accredited Courses Is it necessary to upload valid NBA letter on portal and send hard copy to Regional Office,relevant
Our Institution has applied for NBA whether we are eligible for adding a new Course,relevant
can I apply for the introduction of New Course/ increase in Intake using it,relevant
can I apply for the introduction of New Course/ increase in Intake using it,relevant
Our Institution is not eligible to apply for NBA accreditation But we want expansion/ new Courses how we can apply,relevant
Our Engineering Institution started in 2013 Could you kindly help with the information on applying for new Courses,relevant
We don’t have accreditation but we would like to add two Courses one with 30 Intake and another with 60 Intake by closing a Course with 90 Intake Is this permissible,relevant
Is there any limit on the addition of number of new Courses in lieu of closing existing Course(s),relevant
We are offering Courses in Design Programme We are not eligible to apply for NBA How can we apply for new PG Course,relevant
Whether a few of the existing Courses shall be continued while introducing few new Courses,relevant
Whether the maximum permissible Intake after the closure of certain existing Courses and introduction of certain new Courses shall be the existing Intake of the academic year 2018- 19 or the maximum of 300,relevant
Our Institution is not eligible to apply for NBA accreditation and we have 5 Courses with total Intake of 300 Can we start a new Course by closing one existing Course,relevant
can we apply for increase in Intake of Second Division from 30 to 60 Intake without NBA accreditation,relevant
Can we conduct both MBA and MCA in the same Institution,relevant
Can we convert our MCA into Integrated MCA Course,relevant
Can we merge Production Engineering Course with Intake 60 and Mechanical Engineering Course with Intake 60 to offer a single Course in Mechanical Engineering with Intake 120,relevant
We have Three Divisions in Information Technology Can we merge Two Divisions of it with Computer Science retaining One Division in Information Technology,relevant
Can we merge BE Electrical Engineering Course with BE Computer Science Engineering Course,relevant
What is the maximum number of UG and PG Courses we can opt for reduction,relevant
We Polytechnic Institution want to reduce the Intake one of Course namely Electronics and Telecommunication Engineering from 60 to 30 Can we do the same,relevant
Name of our affiliating University does not appear in the affiliating University drop down,relevant
What is the duration of MCA Course,relevant
Do we need Research Laboratory for each PG Course,relevant
How the Mega and Metro Cities Urban Area and Rural Area have been determined,relevant
We are running Five PG Courses in Civil Engineering How many Professors with PhD qualification are required,relevant
In BPharmwhether 100 Intake will be taken as one or two Divisions,relevant
We want to change the details which are non-editable/ read-only How this can be done,relevant
Whether Affidavit can be submitted in e-Stamp Paper,relevant
We have got EoA for 2019-20 and subsequently we have got the approval for Change in name of the Affiliating University but it is not reflecting in the EoA,relevant
How to get a copy of Corrigendum EoA / Corrigendum LoA in case of corrections made in EoA or LoA from AICTE Web Portal,relevant
Whether e-Affidavit is mandatory,relevant
How can an Institution apply for National Digital Library,relevant
What is National Academic Depository How to apply,relevant
What is Food and Safety Act 2006 How to comply with its norms,relevant
Is it necessary to provide details for Quality education mandate,relevant
 What is something everyone should know about you,irrelevant
 What do you need from me (as your teacher) more than anything else,irrelevant
 What does success in the classroom mean to you? How would you define it,irrelevant
What do you know about how people learn,irrelevant
 What’s the most creative thing you’ve ever done,irrelevant
What are four ways people learn,irrelevant
 What does it mean to understand something,irrelevant
 When was the last time you’ve solved a problem,irrelevant
 How do you respond to expectations,irrelevant
What is your proudest moment,irrelevant
What do you want to learn about,irrelevant
Are you a picky reader? What are your strengths as a reader,irrelevant
 What is your personal philosophy,irrelevant
When do you write best,irrelevant
 What’s worth understanding deeply,irrelevant
What are your best habits as a thinker? Least helpful,irrelevant
What’s most important to you in life,irrelevant
 What is the relationship between learning and #17,irrelevant
 Where does your inner drive come from,irrelevant
 Who are your heroes or role models,irrelevant
Why study (insert your content area here),irrelevant
 What are you good at that nobody knows,irrelevant
 What do teachers sometimes misunderstand about you as a learner,irrelevant
 What does it mean to ‘study’,irrelevant
 Do you think of yourself as ‘smart’,irrelevant
"How do you respond to complex texts, media, tasks, projects, etc.? Is it different than how you respond to complexity in the ‘real world’",irrelevant
"What do you value (as a person, as a student, etc.)",irrelevant
What should school ‘do’,irrelevant
" If I get out of your way this year, what will you be able to do",irrelevant
who is eligible for Swanath scholarship scheme,relevant
 I am an eligible Candidate for SWANATH Scholarship & studying in 3rd year of Diploma Course. Will I get the Scholarship,relevant
For how long will I get the SWANATH Scholarship?,relevant
I am Degree/Diploma student and recipient of one of the merit scholarships of Centre / State Government. Am I eligible to apply for SWANATH Scholarship,relevant
I am first year B.E student along with beneficiary of PMSSS Scheme studying in one of the leading Engineering College having eligibility for SWANATH scholarship. Am I eligible to apply for SWANATH Scholarship,relevant
Is there any reservation for SC/ST/OBC Students? What is percentage of Reservation for SC/ST/OBC Students,relevant
What is the total number of scholarship under Degree and Diploma,relevant
What is the Scholarship amount for each student under SWANATH Scholarship Scheme,relevant
What are the reasons of direct rejection of application under SWANATH Scheme,relevant
eligibility criteria of Swanath scholarship scheme,relevant
who all can apply for Swanath scholarship scheme,relevant
am i eligible for Swanath scholarship scheme,relevant
swanath scholarship scheme eligibilty criteria,relevant
duration of SWANATH Scholarship,relevant
time period of SWANATH Scholarship,relevant
SWANATH Scholarship time duration,relevant
What is percentage of Reservation for SC/ST/OBC Students,relevant
Is there any reservation for SC/ST/OBC Students,relevant
does SC/ST/OBC Students get scholorship,relevant
number of scholarship under Degree and Diploma,relevant
how many scholarship i get under Degree and Diploma,relevant
Scholarship amount under SWANATH Scholarship Scheme,relevant
Scholarship amount for each student under SWANATH Scholarship Scheme,relevant
how much scholorship i get under SWANATH Scholarship Scheme,relevant
total amount of scholorship student under SWANATH Scholarship Scheme,relevant
various reasons of direct rejection of application under SWANATH Scheme,relevant
direct rejection of application under SWANATH Scheme,relevant
direct rejection criteria of application under SWANATH Scheme,relevant
What are the reasons of direct rejection of application under SWANATH Scheme,relevant
How Can I apply for SWANATH scholarship,relevant
methods to apply for SWANATH scholarship,relevant
where can i apply for SWANATH scholarship,relevant
what happens  when a candidate fails / drops out in subsequent year in SWANATH scholarship,relevant
 What if a candidate fails / drops out in subsequent year,relevant
Saksham Scholarship,relevant
Tell me about Saksham Scholarship,relevant
scheme guidelines of Saksham Scholarship,relevant
What are scheme guidelines,relevant
What are the reasons of rejection of annual family income certificate,relevant
What are the reasons of rejection of promotion certificate,relevant
What are the reasons of rejection of Category Certificate,relevant
What are the reasons of rejection of HSC/SSC certificate,relevant
What are the different documents to be uploaded with the application form in SWANATH scheme,relevant
How Can I apply for SWANATH scholarship,relevant
Eligibility of SWANATH scholarship when a candidate fails / drops out in subsequent year,relevant
Procedure for renewal of Scholarship under SWANATH Schemes,relevant
What is the mode of disbursement of SWANATH scholarship,relevant
Is AADHAAR Card a Mandatory Document for SWANATH Scholarship,relevant
Is there any E-mail (or) Helpline No. for SWANATH Scholarship Queries,relevant
What is the opening and closing date for online submission of SWANATH Scholarship application,relevant
Whom to contact after submission of online scholarship application,relevant
What is Saksham Scholarship,relevant
What are scheme guidelines,relevant
Procedure for renewal of Scholarship under SAKSHAM Scheme,relevant
How can I apply for this scholarship,relevant
I am studying in 3rd year of Diploma/ Degree Course. Will I get Saksham Scholarship,relevant
For how long will I get the Scholarship,relevant
I am Degree/Diploma student and recipient of one of the merit scholarships of Centre / State Government. Am I eligible to apply for SAKSHAM Scholarship,relevant
I am first year B.E student along with beneficiary of PMSSS Scheme studying in one of the leading Engineering College having eligibility for SAKSHAM scholarship. Am I eligible to apply for SAKSHAM Scholarship,relevant
Eligibility of scholarship when a candidate fails / drops out in subsequent year,relevant
Procedure for renewal of Scholarship under SAKSHAM Scheme,relevant
Procedure for renewal of Scholarship under SAKSHAM Scheme,relevant
What is the total number of scholarship,relevant
What is the Scholarship amount for each Student under SAKSHAM Scholarship Scheme,relevant
What is the mode of disbursement of scholarship,relevant
Is AADHAAR Card a Mandatory Document for SAKSHAM Scholarship,relevant
Is there any E-mail (or) Helpline No. for SAKSHAM Scholarship Queries,relevant
Whom to contact in case of any difficulties in accessing the Portal for submitting Online Application,relevant
What is the opening and closing date for online submission of SAKSHAM Scholarship application,relevant
Whom to contact after submission of online scholarship application,relevant
What are the reasons of rejection of HSC/SSC certificate,relevant
What are the different documents to be uploaded with the application form,relevant
What are the reasons of rejection of promotion certificate,relevant
What are the reasons of rejection of annual family income certificate,relevant
What are the reasons of rejection of annual family income certificate,relevant
What are the reasons of direct rejection of application under SAKSHAM Scheme,relevant
Whom to contact after submission of online scholarship application,relevant
What would happen if Incomplete/Wrong information filled in submitted application,relevant
What would happen if Student admitted in Post-graduate courses,relevant
What would happen if Student is availing scholarship from any other sources,relevant
What would happen if University / Institute is not approved by the AICTE in the current academic year,relevant
What would happen if Student is admitted in Non-Technical courses or Course is not approved by AICTE in the current academic year,relevant
What would happen if Incomplete or blank promotion certificate submitted,relevant
"Whom to contact in case of any difficulties in accessing the portal for
submitting online application",relevant
"What is the schedule for marking attendance/forwarding of list of
absentees",relevant
Is the scheme open for all candidates enrolled in Indian Universities/ Colleges/ Institutes,relevant
Is there any annual income ceiling for candidates to be included under the scheme,relevant
Is there any need for uploading of domicile certificate alongwith the online application form,relevant
                                             Are only first year undergraduate students eligible to apply,relevant
Are students enrolled in Diploma courses or those who have cleared Class XII exam or equivalent in the preceding years eligible to apply,relevant
Are students enrolled in private/deemed universities (not funded by either Central or State Government) eligible to apply,relevant
Are students enrolled in integrated courses of eligible institutions eligible to apply,relevant
Are students enrolled in dual degree courses eligible to apply,relevant
Are all courses covered under the ambit of the scheme,relevant
What is the amount of scholarship payable to the awardees,relevant
Who will verify the credentials of the candidates? How will payments be regulated,relevant
Will the scholarship transferred in case the awardee changes the institution or course during the tenure of scholarship,relevant
Will the scholarship be renewed if the awardee fails in the first or subsequent years of study,relevant
 Are the students who have enrolled in some course in distance mode or have obtained admission through management quota be considered el igible for award of scholarship,relevant
Can the awardee claim any other scholarship (State/ Institute or other Ministry) during the tenure of award of this scholarship,relevant
Can the students apply anytime during the year of admission,relevant
